title,rating,price,promotion,review_num,Brand,link,Manufacturer,Description_comb,Primary Supplement Type_comb,Age Range_comb,Flavor_comb,Unit Count_comb,Benefit_comb,Ingredient_comb,Directions_updt,Diet Type_comb,Item_Form_updt
"Nature Made Triple Omega 3 6 9, Flaxseed, Safflower, & Olive Oils, Healthy Heart Support, Fish Free Omega 3 Supplement, 150 Softgels, 75 Day Supply",4.7,27.99,,8786,Nature Made,https://www.amazon.com/Nature-Made-Softgels-Flaxseed-Safflower/dp/B003PGJM00/ref=sr_1_1?crid=22XKRHJ838AAA&dib=eyJ2IjoiMSJ9.Jm17ObmXLxbWRcDQfS3Q22lgO0GWiQaCStY1VQz_cJKz-LiRXw1X8OfvuNY4pD_aoPq6O5y1InLxvEEKAOrrOLExNB_VI-iS__YlvAZEyQXFUcvz1TwcKf0pe-GtN8O5YM1ZdBorjFd7u2d3Y-QSNvmXK4h0vH-DVznh63Abs8-mvQPDu8ooNe72MWK2WXlvtDX2zYIQvTCQZ-JOvFOXWVesQG8q9qEpd6uBJySRDmgqUWHfj-ckhoph90Kc1oSLcK35idT02QgLnOnjuoOm4x7sPYfozeSLuVRNEtWq0HE.FfOUEF1jE4_LKkhb1aJ2uSb9VuIUUd36a5SvstrSi5Q&dib_tag=se&keywords=healthy+food+supplements+omega+fatty+acids&qid=1721713307&rdc=1&sprefix=healthy+food+supplements+omega+fatty+acids%2Caps%2C867&sr=8-1,,"Heart health support supplement: contains one 150 count bottle of Nature Made Triple Omega 3-6-9 Softgels for a 75-day supplyCombines Omega-3, Omega-6, and Omega-9 fatty acids to help support a healthy heart using flaxseed, safflower and olive oilsNature Made Omega 3 6 9 supplement with the three main fatty acids used by the bodyAdults, take one Triple Omega 3-6-9 softgel two times daily with water and a meal for optimal absorptionThese gluten free Omega 3 6 9 supplements have no color added and no artificial flavors#1 Pharmacist Recommended Vitamin and Supplement Brand*These statements have not been evaluated by the Food and Drug Administration; this product is not intended to diagnose, treat, cure, or prevent any disease",Phosphorus,,,150 Count,Heart Health Support,"Ingredients Omega-3 (as Alpha Linolenic Acid), Omega-6 (as Linoleic Acid), Omega-9 (as Oleic Acid), Flaxseed Oil, Gelatin, Safflower Oil, Olive Oil, Glycerin.;Flax Seed Oil",,Gluten Free,['softgel']
"Nordic Naturals Ultimate Omega, Lemon Flavor - 90 Soft Gels - 1280 mg Omega-3 - High-Potency Omega-3 Fish Oil Supplement with EPA & DHA - Promotes Brain & Heart Health - Non-GMO - 45 Servings",4.6,34.99,,50969,Nordic Naturals,https://www.amazon.com/Nordic-Naturals-Ultimate-Omega-SoftGels/dp/B0739KKHWL/ref=sr_1_2?crid=22XKRHJ838AAA&dib=eyJ2IjoiMSJ9.Jm17ObmXLxbWRcDQfS3Q22lgO0GWiQaCStY1VQz_cJKz-LiRXw1X8OfvuNY4pD_aoPq6O5y1InLxvEEKAOrrOLExNB_VI-iS__YlvAZEyQXFUcvz1TwcKf0pe-GtN8O5YM1ZdBorjFd7u2d3Y-QSNvmXK4h0vH-DVznh63Abs8-mvQPDu8ooNe72MWK2WXlvtDX2zYIQvTCQZ-JOvFOXWVesQG8q9qEpd6uBJySRDmgqUWHfj-ckhoph90Kc1oSLcK35idT02QgLnOnjuoOm4x7sPYfozeSLuVRNEtWq0HE.FfOUEF1jE4_LKkhb1aJ2uSb9VuIUUd36a5SvstrSi5Q&dib_tag=se&keywords=healthy+food+supplements+omega+fatty+acids&qid=1721713307&sprefix=healthy+food+supplements+omega+fatty+acids%2Caps%2C867&sr=8-2,,"Why omega-3s - Research shows that the essential fatty acids EPA & DHA in fish oil support heart, brain, eye function*Doctor-recommended formula - Nordic Naturals Ultimate Omega features high concentration omega-3 fish oil in soft gels; This formula meets the daily recommended dose suggested by the American Heart Association to support heart function*Better absorption, better taste, no fishy burps - All of our omega-3 fish oil concentrates are in the triglyceride molecular form (the form naturally found in fish) for optimal absorptionPurity guaranteed - Every batch of Nordic Naturals fish oil is crafted from fresh, wild-caught, omega-rich fishEthical innovation - Nordic Naturals has always been at the forefront of sustainable & ethical practices in the natural products industry; Through science & innovation, we are committed to delivering safe, effective nutrients for optimal wellness",,Adult,Lemon,90.0 Count,"Brain Health Support, Support Heart Health, Immune Support, Eye Health Support","Ingredients Purified deep sea fish oil (from anchovies and sardines), soft gel capsule (gelatin, glycerin, water, natural lemon flavor), natural lemon flavor, d-alpha tocopherol, rosemary extract (a natural preservative).;Eicosapentaenoic Acid,Docosahexaenoic Acid",,,['softgel']
Purity Products Omega 3-6-9 Vegan and Vegetarian Omega Formula - Ð²Ð? in 1Ð²Ð?Essential Fatty Acid Complex - Scientifically Formulated Plant-Based Omega 3 6 9 Essential Fatty Acids (EFA) - from (60),4.7,15.95,,3273,Purity Products,https://www.amazon.com/Vegetarian-Formula-Essential-Purity-Products/dp/B01EVITLHE/ref=sr_1_3?crid=22XKRHJ838AAA&dib=eyJ2IjoiMSJ9.Jm17ObmXLxbWRcDQfS3Q22lgO0GWiQaCStY1VQz_cJKz-LiRXw1X8OfvuNY4pD_aoPq6O5y1InLxvEEKAOrrOLExNB_VI-iS__YlvAZEyQXFUcvz1TwcKf0pe-GtN8O5YM1ZdBorjFd7u2d3Y-QSNvmXK4h0vH-DVznh63Abs8-mvQPDu8ooNe72MWK2WXlvtDX2zYIQvTCQZ-JOvFOXWVesQG8q9qEpd6uBJySRDmgqUWHfj-ckhoph90Kc1oSLcK35idT02QgLnOnjuoOm4x7sPYfozeSLuVRNEtWq0HE.FfOUEF1jE4_LKkhb1aJ2uSb9VuIUUd36a5SvstrSi5Q&dib_tag=se&keywords=healthy+food+supplements+omega+fatty+acids&qid=1721713307&sprefix=healthy+food+supplements+omega+fatty+acids%2Caps%2C867&sr=8-3,,"A PLANT-POWERED VEGAN AND VEGETARIAN FORMULA: Finding essential fatty acids can be a challenge on a vegan diet. But with PurityÐ²Ðâ¢s Vegan Omega 3-6-9, youÐ²Ðâ¢ll get a full serving of the Ð²ÐÑgood fatsÐ²Ð?your body needs Ð²Ð?plus a Vegetarian Omega Blend!ADVANCED 5-IN-1 VEGAN BLEND OF OMEGA 3,6, AND 9: Every serving of Vegan Omega 3-6-9 delivers a comprehensive plant-sourced blend of Flaxseed Oil, Extra Virgin Olive Oil, Borage Oil, Pomegranate Oil, and Sacha Inchi Seed Oil.THE VEGETARIANÐ²Ðâ¢S ALTERNATIVE TO FISH OIL: Omega 3-6-9 helps you maintain healthy levels EPA and DHA Ð²Ð?all while providing GLA and Oleic acid Ð²Ð?two essential fatty acids not found in ordinary fish oil supplements.*SEALED WITH LEMONLOCK TECHNOLOGY: Every vegetarian softgel utilizes our LemonLock Ð²Ð?an advanced freshness system that infuses our oils with a potent antioxidant complex to help keep essential fatty acids fresh.THE PURITY DIFFERENCE: With 30+ years of experience, our FDA-inspected manufacturing facilities are 3rd-party certified and comply with Good Manufacturing Practices (cGMP). All phases of production ensure product purity and potency.",,Adult,Pomegranate,60.00 Count,Heart Health Support,"Ingredients Vegetarian Omega Blend of - Flaxseed Oil, Olive Oil, Borage Oil, Pomegranate Oil, and Sacha Inchi Oil, Omega-3 Fatty Acids - ALA (Alpha-Linolenic Acid) , Omega-6 Fatty Acids - LA (Linoleic Acid), GLA (Gamma-Linolenic Acid), Omega-9 Fatty Acids - Oleic Acid, Flaxseed oil, organic extra virgin olive oil, capsule shell (modified cornstarch, glycerin, sorbitol, carrageenan, and purified water), borage seed oil, pomegranate seed oil, sacha inchi seed oil, Proprietary LemonLock Freshness System (antioxidant blend of rosemary extract, natural tocopherols (soy), and ascorbyl palmitate; natural lemon flavor). Contains soy.","Directions Adults take two soft gels daily. Optimally, take one serving twice daily for the first 15 days. FOR DAILY USE.","Vegetarian, Vegan",['softgel']
"NOW Supplements, Omega-3 180 EPA / 120 DHA, Molecularly Distilled, Cardiovascular Support*, 200 Softgels",4.7,15.74,,12367,NOW,https://www.amazon.com/NOW-Supplements-Molecularly-Distilled-Cardiovascular/dp/B001GCU6KA/ref=sr_1_4?crid=22XKRHJ838AAA&dib=eyJ2IjoiMSJ9.Jm17ObmXLxbWRcDQfS3Q22lgO0GWiQaCStY1VQz_cJKz-LiRXw1X8OfvuNY4pD_aoPq6O5y1InLxvEEKAOrrOLExNB_VI-iS__YlvAZEyQXFUcvz1TwcKf0pe-GtN8O5YM1ZdBorjFd7u2d3Y-QSNvmXK4h0vH-DVznh63Abs8-mvQPDu8ooNe72MWK2WXlvtDX2zYIQvTCQZ-JOvFOXWVesQG8q9qEpd6uBJySRDmgqUWHfj-ckhoph90Kc1oSLcK35idT02QgLnOnjuoOm4x7sPYfozeSLuVRNEtWq0HE.FfOUEF1jE4_LKkhb1aJ2uSb9VuIUUd36a5SvstrSi5Q&dib_tag=se&keywords=healthy+food+supplements+omega+fatty+acids&qid=1721713307&sprefix=healthy+food+supplements+omega+fatty+acids%2Caps%2C867&sr=8-4,,"CARDIOVASCULAR SUPPORT*: Take 2 NOW Omega-3 1,000 mg softgels a day to help support heart health.*1,000 mg FISH OIL (180 EPA/120 DHA) PER SOFTGEL: Made of natural fish oil concentrate manufactured under strict quality control standards.CERTIFICATIONS/CLASSIFICATIONS: Non-GMO, Quality GMP Assured, Kosher (contains gelatin)GMP Quality Assured: NPA A-rated GMP certification means that every aspect of the NOW manufacturing process has been examined, including our laboratory/testing methods (for stability, potency, and product formulation).Packaged in the USA by a family owned and operated company since 1968.",Omega,,,200 Count,Heart Health Support,"Ingredients Supplement FactsServing Size:2 SoftgelsServings Per Container:15DescriptionAmount per Serving% Daily ValueCalories 20 Total Fat 2 g 3%** Saturated Fat 0.5 g 3%** Polyunsaturated Fat 1 g Daily Value not established. Monounsaturated Fat 0.5 g Daily Value not established. Fish Oil Concentrate 2 g (2,000 mg) Daily Value not established. Omega-3 Fatty Acids: Eicosapentaenoic Acid (EPA) 360 mg Daily Value not established. Docosahexaenoic Acid (DHA) 240 mg Daily Value not established. **Percent Daily Values are based on a 2,000 calorie diet.Daily Value not established.Other Ingredients: Softgel Capsule [bovine gelatin (BSE-free), glycerin, water] and d-alpha Tocopherol (from sunflower). Contains fish (anchovies, sardines, tuna). Not manufactured with yeast, wheat, gluten, soy, milk, egg, shellfish or sesame ingredients. Produced in a GMP facility that processes other ingredients containing these allergens. Caution: For adults only. Consult physician if pregnant/nursing, taking medication, or have a medical condition. Keep out of reach of children. Fish oil is product of Peru, Morocco, Mauritius, Malaysia. Natural color variation may occur in this product. Packaged and quality tested in the USA. Store in a cool, dry place after opening. Family owned since 1968.;Omega-3 Fatty Acid",,Kosher,['softgel']
"Nature Made Fish Oil 1200 mg Softgels, Fish Oil Supplements, Omega 3 Fish Oil for Healthy Heart Support, Omega 3 Supplement with 100 Softgels, 50 Day Supply",4.7,9.99,,18539,Nature Made,https://www.amazon.com/Nature-Made-Fish-Omega-3-Softgels/dp/B0000DJAQU/ref=sr_1_5?crid=22XKRHJ838AAA&dib=eyJ2IjoiMSJ9.Jm17ObmXLxbWRcDQfS3Q22lgO0GWiQaCStY1VQz_cJKz-LiRXw1X8OfvuNY4pD_aoPq6O5y1InLxvEEKAOrrOLExNB_VI-iS__YlvAZEyQXFUcvz1TwcKf0pe-GtN8O5YM1ZdBorjFd7u2d3Y-QSNvmXK4h0vH-DVznh63Abs8-mvQPDu8ooNe72MWK2WXlvtDX2zYIQvTCQZ-JOvFOXWVesQG8q9qEpd6uBJySRDmgqUWHfj-ckhoph90Kc1oSLcK35idT02QgLnOnjuoOm4x7sPYfozeSLuVRNEtWq0HE.FfOUEF1jE4_LKkhb1aJ2uSb9VuIUUd36a5SvstrSi5Q&dib_tag=se&keywords=healthy+food+supplements+omega+fatty+acids&qid=1721713307&rdc=1&sprefix=healthy+food+supplements+omega+fatty+acids%2Caps%2C867&sr=8-5,,"Heart health support supplement: contains one 100 count bottle of Nature Made Fish Oil 1200 mg Softgels for a 50-day supplyThis Nature Made Omega 3 Fish Oil supplement is purified to remove mercury and other contaminants (2)One serving of two fish oil softgels provides 720 mg Omega-3 fatty acids (600 mg EPA and DHA) to help support a healthy heartAdults, take two of these Fish Oil Omega 3 supplement softgels daily with water and a mealThis gluten free and dairy free Fish Oil for women and men heart supplement has no color added and no artificial flavorsNumber 1 Pharmacist Recommended Vitamin & Supplement Brand*These statements have not been evaluated by the Food and Drug Administration; this product is not intended to diagnose, treat, cure, or prevent any disease",Vitamin,Adult,Fish,100 Count,"Dietary Supplement,Heart Health Support",,"Directions Adults, take 2 softgels daily with water and a meal. Store tightly closed, in a cool, dry place, out of reach of children. Do not use if imprinted seal under cap is broken or missing.",Gluten Free,['softgel']
"NatureWise Extra-Strength Omega 3 Fish Oil Supplement - 1000mg per Serving - 600 EPA & 400 DHA and Vitamin E - Support for Heart & Brain Health - Lemon Flavor, Non-GMO - 180 Softgels[3-Month Supply]",4.6,18.99,,2326,NatureWise,https://www.amazon.com/NatureWise-High-Potency-1000mg-Omega-Vitamin/dp/B0C5F4PN8R/ref=sr_1_6?crid=22XKRHJ838AAA&dib=eyJ2IjoiMSJ9.Jm17ObmXLxbWRcDQfS3Q22lgO0GWiQaCStY1VQz_cJKz-LiRXw1X8OfvuNY4pD_aoPq6O5y1InLxvEEKAOrrOLExNB_VI-iS__YlvAZEyQXFUcvz1TwcKf0pe-GtN8O5YM1ZdBorjFd7u2d3Y-QSNvmXK4h0vH-DVznh63Abs8-mvQPDu8ooNe72MWK2WXlvtDX2zYIQvTCQZ-JOvFOXWVesQG8q9qEpd6uBJySRDmgqUWHfj-ckhoph90Kc1oSLcK35idT02QgLnOnjuoOm4x7sPYfozeSLuVRNEtWq0HE.FfOUEF1jE4_LKkhb1aJ2uSb9VuIUUd36a5SvstrSi5Q&dib_tag=se&keywords=healthy+food+supplements+omega+fatty+acids&qid=1721713307&sprefix=healthy+food+supplements+omega+fatty+acids%2Caps%2C867&sr=8-6,,"OMEGA-3 + VITAMIN E: Omega 3 is an essential fatty acid, while vitamin E is a fat-soluble vitamin that is protective of omega 3 fatty acids. We combined omega 3 fish oil with vitamin E so that these synergistic compounds can support overall heart, brain, joint, and eye health.*EXTRA STRENGTH FORMULA: Our highly concentrated Omega-3 fish oil contains 600 mg EPA and 400 mg DHA, along with 60 mg of other beneficial Omega-3 fatty acids.NO FISHY BURPS OR SMELLS: Unlike other brands, NatureWise Omega-3 softgels deliver a blend of omega-3 fish oil without the fishy smells or fishy burps that other fish oil supplements have. The softgels are formulated with lemon flavor to neutralize any strong odors or taste.GLUTEN-FREE, NON-GMO: NatureWise Omega 3 softgels are gluten-free and non-GMO.Ð²ÐÐThese softgels do not contain wheat, gluten, eggs, dairy, peanuts, tree nuts, and corn. This product contains fish (anchovy, mackerel, sardine) and soy.PREMIUM INGREDIENTS: NatureWise Omega 3 softgels are manufactured in the USA with high-quality ingredients from around the world in a cGMP-certified facility with third-party quality control audits.",,Adult,,180 Count,Heart Health Support,"Ingredients Omega-3 Fatty Acids (from fish), Vitamin E, gelatin, glycerin, purified water, natural lemon flavor.",,,['softgel']
"Vegan Omega 3 Supplement - Omega 3 Fish Oil Alternative - No Carrageenan Ð²Ð?Plant Based Algae Omega 3 Fatty Acid Supplements - DHA, EPA, DPA - Heart, Brain, Joint, Eye, Immune Support",4.6,23.97,,2027,The Veggie Doctor,https://www.amazon.com/Omega-Better-Than-Fish-Oil/dp/B0164SLU8M/ref=sr_1_7?crid=22XKRHJ838AAA&dib=eyJ2IjoiMSJ9.Jm17ObmXLxbWRcDQfS3Q22lgO0GWiQaCStY1VQz_cJKz-LiRXw1X8OfvuNY4pD_aoPq6O5y1InLxvEEKAOrrOLExNB_VI-iS__YlvAZEyQXFUcvz1TwcKf0pe-GtN8O5YM1ZdBorjFd7u2d3Y-QSNvmXK4h0vH-DVznh63Abs8-mvQPDu8ooNe72MWK2WXlvtDX2zYIQvTCQZ-JOvFOXWVesQG8q9qEpd6uBJySRDmgqUWHfj-ckhoph90Kc1oSLcK35idT02QgLnOnjuoOm4x7sPYfozeSLuVRNEtWq0HE.FfOUEF1jE4_LKkhb1aJ2uSb9VuIUUd36a5SvstrSi5Q&dib_tag=se&keywords=healthy+food+supplements+omega+fatty+acids&qid=1721713307&rdc=1&sprefix=healthy+food+supplements+omega+fatty+acids%2Caps%2C867&sr=8-7,,"Plant Based Vegan Omega 3: Prevent inflammation with our omega 3 supplements! It supports decreasing inflammation in the body helps boost & strengthen the immune system helping prevent diseases. Omega-3 helps aid pain relief in joints.DPA, DHA & EPA Vegan: The essential fatty acid DPA has been shown to inhibit inflammation even better than EPA. In your body, EPA is naturally turned into DPA because itÐ²Ðâ¢s better suited to control inflammation. DPA helps support your heart, brain, joints, eyes and immune system better than other essential fatty acids & helps maximize the benefits from omega-3s.Brain Health: Our omega 3 supplements help important roles in brain function and development. They can help improve brain function in people with memory problems or other cognitive impairments.Burp-less Formula: Qwell is made with farm-raised non-GMO algae, free of ocean-borne toxins, pollutants and contaminants and wonÐ²Ðâ¢t give you Ð²ÐÑfishy burps"". You get the essential fatty acids you need each day from the same place fish get theirs, algae.Physician Formulated: Made by an MD for joint, heart, brain and immune system support. Qwell delivers a large, pure, clean dose of omega-3s, including EPA, DHA and DPA with Vitamin E without harmful ingredients like CARRAGEENAN.","EPA, DHA and DPA with Vitamin E",,Algae,60 Count,,"Ingredients Omega 3 Fatty Acids (from Algal Oil), Non-GMO Vitamin E (as Mixed D Alpha Tocopherol Acetate), Ascorbyl-Palminate, Vegetarian Softgel (Non-GMO Tapioca, Water, Glycerin)(Carrageenan Free);Docosahexaenoic acid","Directions Take two (2) softgels daily in divided doses with meals, or as recommended by a health practitioner.",Vegan,['softgel']
"NOW Supplements, Omega 3-6-9 1000 mg with a blend of Flax Seed, Evening Primrose, Canola, Black Currant and Pumpkin Seed Oils, 250 Softgels",4.7,27.13,,5632,NOW,https://www.amazon.com/NOW-Omega-3-6-9-1000-Softgels/dp/B0013OSO0K/ref=sr_1_8?crid=22XKRHJ838AAA&dib=eyJ2IjoiMSJ9.Jm17ObmXLxbWRcDQfS3Q22lgO0GWiQaCStY1VQz_cJKz-LiRXw1X8OfvuNY4pD_aoPq6O5y1InLxvEEKAOrrOLExNB_VI-iS__YlvAZEyQXFUcvz1TwcKf0pe-GtN8O5YM1ZdBorjFd7u2d3Y-QSNvmXK4h0vH-DVznh63Abs8-mvQPDu8ooNe72MWK2WXlvtDX2zYIQvTCQZ-JOvFOXWVesQG8q9qEpd6uBJySRDmgqUWHfj-ckhoph90Kc1oSLcK35idT02QgLnOnjuoOm4x7sPYfozeSLuVRNEtWq0HE.FfOUEF1jE4_LKkhb1aJ2uSb9VuIUUd36a5SvstrSi5Q&dib_tag=se&keywords=healthy+food+supplements+omega+fatty+acids&qid=1721713307&sprefix=healthy+food+supplements+omega+fatty+acids%2Caps%2C867&sr=8-8,,"NOW's Omega 3-6-9 blend of five nutritional oils -- Flax Seed, Evening Primrose, Canola, Black Currant, and Pumpkin Seed Oils -- have essential fatty acids for healthy-looking skin and immune support.*Each serving may have the following naturally occurring amounts of polyunsaturated fats and monounsaturated fats: Omega-3 [Alpha Linolenic Acid (ALA)] 45%; Omega-6 [Linoleic Acid and Gamma Linolenic Acid (GLA)] 26.5%; Omega-9 [Oleic Acid] 17.5%; Other (short chain fatty acids, saturated fats, phospholipids, etc.) 11%Non-GMO, Kosher (contains gelatin), Halal, Cold Pressed, Hexane Free, Soy Free, Dairy Free, Egg Free, Made Without GlutenGMP Quality Assured: NOW closely adheres to both mandatory U.S. FDA Current Good Manufacturing Practices (CGMP) regulations and voluntary Natural Products Association (NPA) Good Manufacturing Practices (GMP) regulations. Good manufacturing practices ensure compliance with sanitation, processing, documentation and testing requirements that are designed to promote consistent, highly reproducible product quality and safety.Packaged in the USA by a family owned and operated company since 1968During the summer months products may arrive warm but Amazon stores and ships products in accordance with manufacturers' recommendations, when provided.",Omega Oil Blend,Adult,Pumpkin,250 Count,"Immune Support, Heart Health Support","Ingredients Supplement Facts Serving Size: 2 Softgels Servings Per Container: 50 Description Amount per Serving % Daily Value * Percent Daily Values are based on 2,000 calorie diet. ÐÑÐ²â?Daily Value not established. Calories 20 Ðâ Total Fat 2 g 3%* Ðâ Ðâ Saturated Fat 2%* Ðâ Ðâ Polyunsaturated Fat 1.5 g ÐÑÐ²â?Ðâ Ðâ Monounsaturated Fat ÐÑÐ²â?Flax Seed Oil (cold-pressed, organic) 1.4 g (1,400 mg) ÐÑÐ²â?Evening Primrose Oil (cold-pressed) (seed) 300 mg ÐÑÐ²â?Canola Oil (cold-pressed, non-GMO) (seed) 260 mg ÐÑÐ²â?Black Currant Oil (cold-pressed) (seed) 20 mg ÐÑÐ²â?Pumpkin Seed Oil (cold-pressed) 20 mg ÐÑÐ²â?Other Ingredients: Softgel Capsule (bovine gelatin, water, glycerin, caramel powder, carob powder). Not manufactured with yeast, wheat, gluten, soy, milk, egg, fish or shellfish ingredients. Produced in a GMP facility that processes other ingredients containing these allergens. Caution: For adults only. Consult physician if taking medication or have a medical condition. Keep out of reach of children. Each serving may also have the following naturally occurring amounts of polyunsaturated fats and monounsaturated fats: Omega-3 [Alpha Linolenic Acid (ALA)] 45%; Omega-6 [Linoleic Acid and Gamma Linolenic Acid (GLA)] 26.5%; Omega-9 [Oleic Acid] 17.5%; Other (short chain fatty acids, saturated fats, phospholipids, etc) 11% Natural color variation may occur in this product. Store in a cool, dry place after opening. Please Recycle. Family owned since 1968.",,Kosher,['softgel']
"Omega 3 Fish Oil Supplement - 1200mg EPA and 900mg DHA Fatty Acid Per Serving - Supports Joint, Eyes, Brain & Skin Health - Burpless Lemon Flavor, Gluten-Free, 90 Softgels (Packaging May Vary)",4.5,19.97,,11028,BioSchwartz,https://www.amazon.com/Omega-Supplement-1200mg-900mg-Combination/dp/B0747G31KF/ref=sr_1_9?crid=22XKRHJ838AAA&dib=eyJ2IjoiMSJ9.Jm17ObmXLxbWRcDQfS3Q22lgO0GWiQaCStY1VQz_cJKz-LiRXw1X8OfvuNY4pD_aoPq6O5y1InLxvEEKAOrrOLExNB_VI-iS__YlvAZEyQXFUcvz1TwcKf0pe-GtN8O5YM1ZdBorjFd7u2d3Y-QSNvmXK4h0vH-DVznh63Abs8-mvQPDu8ooNe72MWK2WXlvtDX2zYIQvTCQZ-JOvFOXWVesQG8q9qEpd6uBJySRDmgqUWHfj-ckhoph90Kc1oSLcK35idT02QgLnOnjuoOm4x7sPYfozeSLuVRNEtWq0HE.FfOUEF1jE4_LKkhb1aJ2uSb9VuIUUd36a5SvstrSi5Q&dib_tag=se&keywords=healthy+food+supplements+omega+fatty+acids&qid=1721713307&sprefix=healthy+food+supplements+omega+fatty+acids%2Caps%2C867&sr=8-9,,"Enhanced absorption and bioavailability: Unlike most fish oil supplements on the market, BioSchwartz's ultra-pure fish oil omega 3 is extracted using a proprietary method that concentrates the value of omega-3's for enhanced absorption and superior bioavailabilitySustainably caught from iceland: The fish are never farm-raised; they are caught fresh from the pristine, cold waters of Iceland for exceptional purity and zero contamination, as evidenced by the rigorous testing of each and every batch2,250MG Fish Oil Per Serving - Each daily serving includes 1200mg of EPA, 900mg of DHA, and 150mg of other Omega-3Ð²Ðâ¢s to support brain, eye, and whole body healthSupports Joint, Eyes, Brain & Skin Health: Fish oil naturally supports many aspects of whole body health in men and womenThe BioSchwartz difference: Our Omega 3 Fish oil softgels are pescaterian-friendly, non-GMO, gluten free, manufactured in the USA in a cGMP-compliant facility, and third-party tested for purity, ensuring the highest levels of quality (Packaging may vary)",,Adult,Lemon,90.0 Count,Brain Health Support,"Ingredients Fish Oil 3000mg, total Omega-3 Fatty Acids 2250mg (EPA 1200mg, DHA 900 mg, Other Omega-3 Fatty Acids 150mg). Other ingredients: Gelatin, Glycerol, Natural Lemon Oil, Purified Water and Natural Mixed Tocopherol.",,,['softgel']
"NOW Supplements, Ultra Omega-3 Molecularly Distilled and Enteric Coated, 180 Softgels",4.8,26.88,,3173,NOW,https://www.amazon.com/NOW-Ultra-Omega-Fish-Softgels/dp/B000SE5SY6/ref=sr_1_10?crid=22XKRHJ838AAA&dib=eyJ2IjoiMSJ9.Jm17ObmXLxbWRcDQfS3Q22lgO0GWiQaCStY1VQz_cJKz-LiRXw1X8OfvuNY4pD_aoPq6O5y1InLxvEEKAOrrOLExNB_VI-iS__YlvAZEyQXFUcvz1TwcKf0pe-GtN8O5YM1ZdBorjFd7u2d3Y-QSNvmXK4h0vH-DVznh63Abs8-mvQPDu8ooNe72MWK2WXlvtDX2zYIQvTCQZ-JOvFOXWVesQG8q9qEpd6uBJySRDmgqUWHfj-ckhoph90Kc1oSLcK35idT02QgLnOnjuoOm4x7sPYfozeSLuVRNEtWq0HE.FfOUEF1jE4_LKkhb1aJ2uSb9VuIUUd36a5SvstrSi5Q&dib_tag=se&keywords=healthy+food+supplements+omega+fatty+acids&qid=1721713307&sprefix=healthy+food+supplements+omega+fatty+acids%2Caps%2C867&sr=8-10,,"CARDIOVASCULAR SUPPORT*: Take 1 NOW Ultra Omega-3 softgel 1 to 2 times daily to help support brain health.*MOLECULARLY DISTILLED - ENTERIC COATED: Those who experience nausea or reflux from other fish oils should find this enteric coated, odor-controlled softgel easier to tolerate.CERTIFICATIONS/CLASSIFICATIONS: Non-GMO, Kosher, GMP Quality AssuredGMP Quality Assured: NPA A-rated GMP certification means that every aspect of the NOW manufacturing process has been examined, including our laboratory/testing methods (for stability, potency, and product formulation).Packaged in the USA by a family owned and operated company since 1968.During the summer months products may arrive warm but Amazon stores and ships products in accordance with manufacturers' recommendations, when provided.",Omega,,(500 EPA / 250 DHA),180 Count,Heart Health Support,"Ingredients Supplement Facts Serving Size: 1 Softgel Servings Per Container: 180 Description Amount per Serving % Daily Value * Percent Daily Values are based on 2,000 calorie diet.Ð²Ð?Daily Value not established. Calories 10 Calories from Fat 10 Total Fat 1 g 2%* Saturated Fat;Fish Oil",,Kosher,['softgel']
